Crop,State,Cost of Cultivation (`/Hectare) A2+FL,Cost of Cultivation (`/Hectare) C2,Cost of Production (`/Quintal) C2,Yield (Quintal/ Hectare) ,Crop             ,Production 2006-07,Production 2007-08,Production 2008-09,Production 2009-10,Production 2010-11,Area 2006-07,Area 2007-08,Area 2008-09,Area 2009-10,Area 2010-11,Yield 2006-07,Yield 2007-08,Yield 2008-09,Yield 2009-10,Yield 2010-11,Variety,Season/ duration in days,Recommended Zone,Unnamed: 4,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12
ARHAR,Uttar Pradesh,9794.05,23076.74,1941.55,9.83,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
ARHAR,Karnataka,10593.15,16528.68,2172.46,7.47,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
ARHAR,Gujarat,13468.82,19551.9,1898.3,9.59,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
ARHAR,Andhra Pradesh,17051.66,24171.65,3670.54,6.42,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
ARHAR,Maharashtra,17130.55,25270.26,2775.8,8.72,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
COTTON,Maharashtra,23711.44,33116.82,2539.47,12.69,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
COTTON,Punjab,29047.1,50828.83,2003.76,24.39,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
COTTON,Andhra Pradesh,29140.77,44756.72,2509.99,17.83,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
COTTON,Gujarat,29616.09,42070.44,2179.26,19.05,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
COTTON,Haryana,29918.97,44018.18,2127.35,19.9,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
GRAM,Rajasthan,8552.69,12610.85,1691.66,6.83,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
GRAM,Madhya Pradesh,9803.89,16873.17,1551.94,10.29,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
GRAM,Uttar Pradesh,12833.04,21618.43,1882.68,10.93,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
GRAM,Maharashtra,12985.95,18679.33,2277.68,8.05,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
GRAM,Andhra Pradesh,14421.98,26762.09,1559.04,16.69,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
GROUNDNUT,Karnataka,13647.1,17314.2,3484.01,4.71,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
GROUNDNUT,Andhra Pradesh,21229.01,30434.61,2554.91,11.97,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
GROUNDNUT,Tamil Nadu,22507.86,30393.66,2358.0,11.98,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
GROUNDNUT,Gujarat,22951.28,30114.45,1918.92,13.45,Arecanut  ,168.6981818181818,182.6290909090909,179.9527272727273,173.7490909090909,210.1818181818182,116.02545454545454,118.40363636363638,120.5309090909091,118.20363636363635,127.21636363636365,146.82909090909092,153.77454545454546,149.47636363636363,147.4272727272727,164.57090909090908,(CNI 383-5-11),-,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",,100.0,99.75,102.0,104.75,106.41666666666667,114.91666666666667,121.91666666666667,120.75
